Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size
2026-06-12 01:10:18.981037,51.105.71.136,192.168.31.98,TCP,443,26395,54
2026-06-12 01:10:18.982707,51.105.71.136,192.168.31.98,TCP,443,27364,54
2026-06-12 01:10:18.985918,192.168.31.98,51.105.71.136,TCP,27364,443,54
2026-06-12 01:10:18.993249,140.82.112.21,192.168.31.98,TCP,443,21468,78
2026-06-12 01:10:18.995004,140.82.112.21,192.168.31.98,TCP,443,21468,54
2026-06-12 01:10:18.996701,192.168.31.98,140.82.112.21,TCP,21468,443,54
2026-06-12 01:10:18.998475,192.168.31.98,140.82.112.21,TCP,21468,443,54
2026-06-12 01:10:19.000005,140.82.112.21,192.168.31.98,TCP,443,10521,78
2026-06-12 01:10:19.001927,140.82.112.21,192.168.31.98,TCP,443,10521,54
2026-06-12 01:10:19.003632,192.168.31.98,140.82.112.21,TCP,10521,443,54
2026-06-12 01:10:19.006723,192.168.31.98,140.82.112.21,TCP,10521,443,54
2026-06-12 01:10:19.008294,192.168.31.98,51.105.71.136,TCP,56618,443,66
2026-06-12 01:10:19.187566,51.105.71.136,192.168.31.98,TCP,443,56618,66
2026-06-12 01:10:19.189529,192.168.31.98,51.105.71.136,TCP,56618,443,54
2026-06-12 01:10:19.191120,192.168.31.98,51.105.71.136,TCP,56618,443,1494
2026-06-12 01:10:19.192566,192.168.31.98,51.105.71.136,TCP,56618,443,483
2026-06-12 01:10:19.389973,51.105.71.136,192.168.31.98,TCP,443,56618,54
2026-06-12 01:10:19.392303,51.105.71.136,192.168.31.98,TCP,443,56618,153
2026-06-12 01:10:19.394292,192.168.31.98,51.105.71.136,TCP,56618,443,769
2026-06-12 01:10:19.595954,51.105.71.136,192.168.31.98,TCP,443,56618,1494
2026-06-12 01:10:19.597931,51.105.71.136,192.168.31.98,TCP,443,56618,1494
2026-06-12 01:10:19.599844,51.105.71.136,192.168.31.98,TCP,443,56618,1494
2026-06-12 01:10:19.601551,51.105.71.136,192.168.31.98,TCP,443,56618,1494
2026-06-12 01:10:19.603554,51.105.71.136,192.168.31.98,TCP,443,56618,1494
2026-06-12 01:10:19.605036,51.105.71.136,192.168.31.98,TCP,443,56618,1363
2026-06-12 01:10:19.607122,192.168.31.98,51.105.71.136,TCP,56618,443,54
2026-06-12 01:10:19.608697,192.168.31.98,51.105.71.136,TCP,56618,443,128
2026-06-12 01:10:19.610873,192.168.31.98,51.105.71.136,TCP,56618,443,146
2026-06-12 01:10:19.612564,192.168.31.98,51.105.71.136,TCP,56618,443,544
2026-06-12 01:10:19.614558,192.168.31.98,51.105.71.136,TCP,56618,443,1494
2026-06-12 01:10:19.616225,192.168.31.98,51.105.71.136,TCP,56618,443,1494
2026-06-12 01:10:19.618832,192.168.31.98,51.105.71.136,TCP,56618,443,1494
2026-06-12 01:10:19.621071,192.168.31.98,51.105.71.136,TCP,56618,443,1134
2026-06-12 01:10:19.800094,51.105.71.136,192.168.31.98,TCP,443,56618,54
2026-06-12 01:10:19.801699,51.105.71.136,192.168.31.98,TCP,443,56618,157
2026-06-12 01:10:19.803083,51.105.71.136,192.168.31.98,TCP,443,56618,116
2026-06-12 01:10:19.804392,51.105.71.136,192.168.31.98,TCP,443,56618,85
2026-06-12 01:10:19.806092,51.105.71.136,192.168.31.98,TCP,443,56618,54
2026-06-12 01:10:19.807523,51.105.71.136,192.168.31.98,TCP,443,56618,54
2026-06-12 01:10:19.808649,192.168.31.98,51.105.71.136,TCP,56618,443,54
2026-06-12 01:10:19.810075,192.168.31.98,51.105.71.136,TCP,56618,443,85
2026-06-12 01:10:19.888664,192.168.31.98,20.207.73.85,TCP,10522,443,54
2026-06-12 01:10:19.907912,20.207.73.85,192.168.31.98,TCP,443,10522,78
2026-06-12 01:10:19.911014,20.207.73.85,192.168.31.98,TCP,443,10522,54
2026-06-12 01:10:19.913969,192.168.31.98,20.207.73.85,TCP,10522,443,54
2026-06-12 01:10:19.917256,192.168.31.98,20.207.73.85,TCP,10522,443,54
2026-06-12 01:10:20.006516,51.105.71.136,192.168.31.98,TCP,443,56618,335
2026-06-12 01:10:20.051923,192.168.31.98,51.105.71.136,TCP,56618,443,54
2026-06-12 01:10:20.930119,192.168.31.1,224.0.0.1,Unknown,-,-,50
